注意：不要相信视频或者文件内的广告和二维码！谨防诈骗！谨防诈骗！谨防诈骗！,,,
文件没了或者表格中没有的资源请联系我。      邮箱：admin@daybyday.top      微信：daybyday_top,,,
为防止该链接被封导致失联，可以收藏该网址： home.daybyday.top ，里面有个资源搜索（影视剧资源搜索），打开即可访问最新链接。,,,
新增：学习资料合集（考公、考研、考编、技能、软件、硬件）       资源合集链接： https://kdocs.cn/l/cj6TVp284PsG,,,
资源名称,百度网盘,夸克网盘,
天空之城（1986）,https://pan.baidu.com/s/1EFYmiO8o9rJjFFFeEw3n0w?pwd=3ud8,https://pan.quark.cn/s/7d689a3da72f,
怦然心动（2010）,https://pan.baidu.com/s/1LEP9_ZHoEF8fYHn2tGO56A?pwd=awp3,https://pan.quark.cn/s/666f6b97d4c7,
天堂电影院（1988）,https://pan.baidu.com/s/19WAUqS1_i1eGt-pUy8HnGw?pwd=71wb,https://pan.quark.cn/s/e40bf131ffab,
蝴蝶效应（2004）,https://pan.baidu.com/s/1U9CjfEtWxf_S9ViziLGrqw?pwd=33p7,https://pan.quark.cn/s/c9255586fff6,
禁闭岛（2010）,https://pan.baidu.com/s/19_e6Ro6QTn_MfM-krINPaw?pwd=9efc,https://pan.quark.cn/s/09bb53aea45f,
布达佩斯大饭店（2014）,https://pan.baidu.com/s/11abide1v8DI7LZGe4wfgBw?pwd=6g7c,https://pan.quark.cn/s/0f4cec540ae9,
阿凡达1（2009）,https://pan.baidu.com/s/1XbOQDudAHyitrYpm5GuzyA?pwd=2jiw,https://pan.quark.cn/s/95f45fecac60,
阿凡达：水之道2（2022）,https://pan.baidu.com/s/1zs0CBSAzttuVhKr7T3zaRQ?pwd=k7wn,https://pan.quark.cn/s/70daa1b63b36,
飞越疯人院（1975）,https://pan.baidu.com/s/1FHcEo0bG2qIa8wP8xXWLRA?pwd=65g6,https://pan.quark.cn/s/bc629f85e837,
心灵捕手（1997）,https://pan.baidu.com/s/1JqhQ5fOccJWcXhvJiC-LgA?pwd=6q53,https://pan.quark.cn/s/c4a62f0f0ef8,
致命魔术（2006）,https://pan.baidu.com/s/1Wamou52umGGJiBVG_8QDbQ?pwd=r2b4,https://pan.quark.cn/s/5a12840ea486,
低俗小说（1994）,https://pan.baidu.com/s/1a7M9kLWU7O2qOsDDH3tuZg?pwd=t6yv,https://pan.quark.cn/s/0db31b428330,
小鞋子（1997）,https://pan.baidu.com/s/1v6JiTsLVEejqEO268Lq-og?pwd=zmc7,https://pan.quark.cn/s/8d4cf349a91a,
超脱（2011）,https://pan.baidu.com/s/1BZk_qN56FHvlcppP5rci3A?pwd=j77u,https://pan.quark.cn/s/cc81a3330fcc,
龙猫（1988）,https://pan.baidu.com/s/1ZVKXFPzYUN2j4zWc1jJKdw?pwd=y6sh,https://pan.quark.cn/s/1c99a538f3b4,
拯救大兵瑞恩（1998）,https://pan.baidu.com/s/1QZAc4NzIc_1AfkPg07GgSQ?pwd=8pp3,https://pan.quark.cn/s/7a1f6bd9e0ef,
喜剧之王（1999）,https://pan.baidu.com/s/1-6UUGkHDVUpUGcI_9nrlqA?pwd=y67h,https://pan.quark.cn/s/c4feb04a51c4,
西西里的美丽传说（2000）,/,https://pan.quark.cn/s/d994251f7b0d,
控方证人（2016）,https://pan.baidu.com/s/1eFaAmiNEhk0Jwhda-y_cgA?pwd=euha,https://pan.quark.cn/s/a7479db36cd6,
熔炉（2011）,https://pan.baidu.com/s/17BTsucpE8snN1Kq__qazEw?pwd=gh2g,https://pan.quark.cn/s/58fa913c2612,
何以为家（2018）,https://pan.baidu.com/s/19BZx-Wa7M2dIz01Eeg01xg?pwd=bqq2,https://pan.quark.cn/s/e0bf13356ed3,
少年派的奇幻漂流（2012）,https://pan.baidu.com/s/1M2rA2pfPNGi8vIiwYy95Gw?pwd=kr94,https://pan.quark.cn/s/efd1563d809b,
闻香识女人（1992）,https://pan.baidu.com/s/1Fo8iQvSUKtqE4YDO-__zTQ?pwd=huij,https://pan.quark.cn/s/86fb013ad99c,
十二怒汉（1957）,https://pan.baidu.com/s/1uh8y2t3qx7ReVqeygbJMsQ?pwd=bj96,https://pan.quark.cn/s/32afcd2ac6d4,
无间道 1（2002）,https://pan.baidu.com/s/12m35w5e0f3JePryoPLcZKg?pwd=699j,https://pan.quark.cn/s/93f159ae3e3f,
无间道 2（2003）,https://pan.baidu.com/s/1vfyJLEJxcQHyFVm41yRB1w?pwd=pnqw,https://pan.quark.cn/s/56fc52aaac98,
无间道 3（2003）,https://pan.baidu.com/s/16EWfYzfvfFvU1wvwx0ZiyA?pwd=auhn,https://pan.quark.cn/s/c2bb8ce6863f,
肖申克的救赎（1994）,https://pan.baidu.com/s/1Os9kfL9Ku58Wd9znB8hFZQ?pwd=ausr,https://pan.quark.cn/s/79f0f10ede88,
千与千寻（2001）,https://pan.baidu.com/s/1I3gwk-BnG8srw26Fj4NP5Q?pwd=vu4e,https://pan.quark.cn/s/b36334d1bffd,
美丽人生（1997）,/,https://pan.quark.cn/s/59fcb3449ca7,
穿条纹睡衣的男孩（2008）,https://pan.baidu.com/s/1MeVD1d2_duSnB93fqlS-Ug?pwd=26n9,https://pan.quark.cn/s/3deb8f1b1dc4,
辩护人（2013）,https://pan.baidu.com/s/1XpfSb353qAyJXdJ2kz9nSg?pwd=7xri,https://pan.quark.cn/s/7f31d0b58b6f,
饮食男女（1994）,/,https://pan.quark.cn/s/4f618e4ebf10,
猫鼠游戏（2002）,https://pan.baidu.com/s/1tExI8B7AIPhdduV9BdP9yg?pwd=kvmk,https://pan.quark.cn/s/15743d551315,
指环王2：双塔奇兵（2002）,https://pan.baidu.com/s/1IZIdDecLlR9MM7aMACoDQw?pwd=bfjq,https://pan.quark.cn/s/d87e22e24af4,
疯狂动物城（2016）,https://pan.baidu.com/s/12KvNU2xDp5OxtBv_zotFlg?pwd=qm24,https://pan.quark.cn/s/e0804eca08b8,
教父（1972）,https://pan.baidu.com/s/1vf9iKO_dLGVvFgHlLLzF3g?pwd=s8gy,https://pan.quark.cn/s/aabcf2b6b611,
哈利·波特与魔法石（2001）,https://pan.baidu.com/s/1tiWeV_V-bcU5b9159tH0-w?pwd=myy8,https://pan.quark.cn/s/706a30bd38b3,
泰坦尼克号（1997）,https://pan.baidu.com/s/1CGa6r1GD9NwcfrHxAALIQg?pwd=dkw9,https://pan.quark.cn/s/97b622b6d8e3,
海上钢琴师（1998）,https://pan.baidu.com/s/1KGJvLjVnUuayysXj-ZHRWw?pwd=w6uu,https://pan.quark.cn/s/fe01ec6a761b,
让子弹飞（2010）,https://pan.baidu.com/s/1GQEh9050883Z_KPOk0NiiQ?pwd=tx3u,https://pan.quark.cn/s/328fe7ebc7c7,
三傻大闹宝莱坞（2009）,https://pan.baidu.com/s/1SN8cVPJzAABWWIJp-0liMw?pwd=u5ur,https://pan.quark.cn/s/d5883a5b70da,
放牛班的春天（2004）,https://pan.baidu.com/s/1VApTfVkUFnpnmgQSp7mBeA?pwd=3ige,https://pan.quark.cn/s/d59d5c90c007,
摩登时代（1936）,https://pan.baidu.com/s/1cq6MFsOo0qGLTfWQZAOOEg?pwd=6u65,https://pan.quark.cn/s/3d2306f94fc2,
哈利·波特与密室（2002）,https://pan.baidu.com/s/1qbnqqCr0BF-_5g9fPxLAdQ?pwd=gg6n,https://pan.quark.cn/s/4469c4d0c401,
当幸福来敲门（2006）,https://pan.baidu.com/s/1oFwQAKEx0mJ1ps-pr5_4BA?pwd=n51v,https://pan.quark.cn/s/60bf16a81036,
功夫（2004）,https://pan.baidu.com/s/1npTSGUEYfheZRnBL7lPtlg?pwd=xn8f,https://pan.quark.cn/s/5536d0d14222,
哈利·波特与阿兹卡班的囚徒（2004）,https://pan.baidu.com/s/1yUw3Ks1gamTk8ijVP6D9jA?pwd=y3vn,https://pan.quark.cn/s/f0e04a4c28d9,
末代皇帝（1987）,https://pan.baidu.com/s/1ac5gzSUxyuz77SaJeZ7H3g?pwd=wkrc,https://pan.quark.cn/s/57b6f6c268b3,
寻梦环游记（2017）,https://pan.baidu.com/s/1ADJC8bLEzbPGKjmUzzCUog?pwd=yjdm,https://pan.quark.cn/s/72ecc274c158,
春光乍泄（1997）,https://pan.baidu.com/s/1eXzb5nKwcKov8vI8Yboz6Q?pwd=f9y6,https://pan.quark.cn/s/d5cc6399f4ae,
罗马假日（1953）,https://pan.baidu.com/s/1pc39BBqdfqzrhMO1Gek_rg?pwd=ips3,https://pan.quark.cn/s/84012719c34b,
音乐之声（1965）,https://pan.baidu.com/s/1zb8iJT-J-TBCptUlUDu79w?pwd=z7xt,https://pan.quark.cn/s/012dd4d900bd,
哈尔的移动城堡（2004）,https://pan.baidu.com/s/1CYfHyLSoj6GVDZeqB1J7dw?pwd=vcfa,https://pan.quark.cn/s/6669692f129d,
触不可及（2011）,https://pan.baidu.com/s/1NwQP1x14J3vmsNsSyvFKeg?pwd=gauw,https://pan.quark.cn/s/d159e50b83f2,
搏击俱乐部（1999）,/,https://pan.quark.cn/s/238ad2a236be,
沉默的羔羊（1991）,https://pan.baidu.com/s/1p-eW7h1YKiBQRh65WyJlsQ?pwd=waki,https://pan.quark.cn/s/0ac4cbd1e05f,
大话西游之月光宝盒（1995）,https://pan.baidu.com/s/1-0GiwOx_9BR4e323mQnt3g?pwd=hd7f,https://pan.quark.cn/s/a400a6cf4746,
爱在日落黄昏时（2004）,https://pan.baidu.com/s/1r3DQ-ErUo-6LLBbTqVwhSA?pwd=kgib,https://pan.quark.cn/s/1a43f3d9f6cb,
狩猎（2012）丹麦,https://pan.baidu.com/s/1hNKcELsR_VK6mjA-Ml8b8g?pwd=s1k2,https://pan.quark.cn/s/96ef4a88f465,
狩猎（2016）韩国,https://pan.baidu.com/s/1YT_Zn-nnvCZEQcTrrnVPpg?pwd=xb7j,/,
狩猎（2022）韩国,https://pan.baidu.com/s/17IRsLlpgL-3oVoiN7m6DIg?pwd=8dcg,https://pan.quark.cn/s/802b6082fa4c,
红辣椒（2006）,https://pan.baidu.com/s/11b40UJTa6MtMsUCQG3IYEw?pwd=tj9s,https://pan.quark.cn/s/e8633c7495e3,
美国往事（1984）,https://pan.baidu.com/s/1OKlWpLnuFVnCGqx_Xk01FA?pwd=b6ks,https://pan.quark.cn/s/e822d413750e,
第六感（1999）,/,https://pan.quark.cn/s/145222689a11,
看不见的客人（2016）,https://pan.baidu.com/s/11KN0Erno4mBi-FhqheUt_g?pwd=m7ag,https://pan.quark.cn/s/4f63ba4101eb,
加勒比海盗1-5部,https://pan.baidu.com/s/1tHnSFZWRG1YvMRH_JJgNBg?pwd=ex2g,https://pan.quark.cn/s/5cfdb90068e4,
未麻的部屋（1998）,https://pan.baidu.com/s/1MmdLUCocK3nHhJlS-UWalQ?pwd=s7r6,https://pan.quark.cn/s/d968ca94de79,
七宗罪（1995）,https://pan.baidu.com/s/1a4z6HaymCpZ6h-wO6YRt8g?pwd=c3g1,https://pan.quark.cn/s/95a445815f4c,
杀人回忆（2003）,https://pan.baidu.com/s/1wyK-S_OxjEfY4J1XAQM3vg?pwd=jdi7,https://pan.quark.cn/s/d9a719d20a30,
海豚湾（2009）,https://pan.baidu.com/s/1tQjb4vHiB_cve3ow7QHPTQ?pwd=ivf5,https://pan.quark.cn/s/f67fb8f46564,
超能陆战队（2014）,https://pan.baidu.com/s/1p6cbS3KM5dReYpo2XynyPg?pwd=sy94,https://pan.quark.cn/s/61a1c29ad36f,
唐伯虎点秋香（1993）,https://pan.baidu.com/s/1ZyZE-nI_zQX-btS_iAtO_w?pwd=imcg,https://pan.quark.cn/s/9b2e501282c2,
请以你的名字呼唤我（2017）,/,https://pan.quark.cn/s/2e411a478d4c,
7号房礼物（2013）,/,https://pan.quark.cn/s/defeb8bdd650,
大话西游之大圣娶亲（1995）,https://pan.baidu.com/s/1dPTNP77ONF93ci5d6J08nA?pwd=wg95,https://pan.quark.cn/s/22809b59af6e,
断背山（2005）,https://pan.baidu.com/s/1qac0Szxu-bcUZCUZjsoj1g?pwd=q2mt,https://pan.quark.cn/s/aa9c50e3d795,
爱在黎明破晓前（1995）,https://pan.baidu.com/s/1n_z7ouLVZOatcw_9zqsJ6A?pwd=e7df,https://pan.quark.cn/s/71b476a2b9e2,
天书奇谭（1983）,https://pan.baidu.com/s/1StMH_q6QMdvc99TJQFyloQ?pwd=hdhv,https://pan.quark.cn/s/159bf234338a,
致命ID,https://pan.baidu.com/s/1Hlr5ts7W2pzZ80Qm2AbvWw?pwd=mqw5 ,https://pan.quark.cn/s/76e7903cd1a2,
被嫌弃的松子的一生,https://pan.baidu.com/s/15q-Ez8BFs5m3jV_70qjhUQ?pwd=s2bt,https://pan.quark.cn/s/312a7dbef89c,
蝙蝠侠：黑暗骑士崛起,https://pan.baidu.com/s/1q7hzL4SEz-tbXa03q6XJyg?pwd=6svu,https://pan.quark.cn/s/7004dcf969c7,
重庆森林,https://pan.baidu.com/s/1ZkrfhMbmcwyHIZafaeRTpw?pwd=ibjn,https://pan.quark.cn/s/1b5ea290d999,
剪刀手爱德华,https://pan.baidu.com/s/1NN2u6JT329jukD_cv4Rx-g?pwd=j3s4 ,https://pan.quark.cn/s/3244a21ce94e,
甜蜜蜜,https://pan.baidu.com/s/1YKQkDEJcZyygtFbD3pCrbg?pwd=yari,https://pan.quark.cn/s/4f5c34bb507b,
寄生虫,https://pan.baidu.com/s/1qIw92PYQtLz_6CW4bwi9WQ?pwd=p3u5,https://pan.quark.cn/s/53582f26bb01,
勇敢的心,https://pan.baidu.com/s/1DXVH4-Hm05JSkuItkNC0vA?pwd=45j6,https://pan.quark.cn/s/db40b558a965,
菊次郎的夏天,https://pan.baidu.com/s/1URTe_Iw_tkI5J63jJHCvfg?pwd=8iy2,https://pan.quark.cn/s/5fd6616ed68c,
借东西的小人阿莉埃蒂,https://pan.baidu.com/s/1Lu09dojSM60-v0BJ_g46ZA?pwd=97mk,https://pan.quark.cn/s/b69d471ba4fe,
入殓师,https://pan.baidu.com/s/1Fk_-0qPBVvk1v1SKojxTMQ?pwd=2twj,https://pan.quark.cn/s/b9a50bd1118e,
幽灵公主,https://pan.baidu.com/s/1kzmRmnDoZcO1PQLywgPv6A?pwd=kydu,https://pan.quark.cn/s/890cbaf0c538,
孤注一掷,https://pan.baidu.com/s/1CTCz0m5yepxQbHqtMo4BQg?pwd=ujes,https://pan.quark.cn/s/816edb2cbf7e,
缝纫机乐队,https://pan.baidu.com/s/1p1_CU_xYJGBKk1kAbSpDkQ?pwd=akmv,https://pan.quark.cn/s/ca96c995bccd,
年会不能停,https://pan.baidu.com/s/1gZZet9UXVF_5SxSXBlVkTA?pwd=xmbi,https://pan.quark.cn/s/ef138d7a593f,
煎饼侠,https://pan.baidu.com/s/1AzCQiT_S3tImIkbGL-VIHw?pwd=3cc8,https://pan.quark.cn/s/ab2d749df14c,
燃罪,https://pan.baidu.com/s/1skZgPG0dKJEcRW_BginFaQ?pwd=jiay,https://pan.quark.cn/s/6f1176eb7ae4,
汉江怪物,https://pan.baidu.com/s/16QYP8aSpMLfTGk4oj40URw?pwd=ibfx,https://pan.quark.cn/s/c81335e6137b,
第九区,https://pan.baidu.com/s/1fdQDpidokLOyBmX_DHH_aA?pwd=xyyh,https://pan.quark.cn/s/ea76bc388dab,
超能查派,https://pan.baidu.com/s/1TRPcRcuuR-17-8tjLOZjkA?pwd=qgw5,https://pan.quark.cn/s/1b2e7c139619,
镇魂街1-4季,https://pan.baidu.com/s/1p-v6Gsge-Qst3f_ejkV-zQ?pwd=cf6e,https://pan.quark.cn/s/059081471678,
漫长的季节,https://pan.baidu.com/s/1KrtEQZA89ShSapWUdsNBtw?pwd=uye3,https://pan.quark.cn/s/78bf6c918b27,
隐秘的角落,https://pan.baidu.com/s/1l7bFSanXAGbUv97Knie4gQ?pwd=r3ex,https://pan.quark.cn/s/1aafedff1304,
沉默的真相,https://pan.baidu.com/s/1auaq66L8oeZPK-3nb21xfA?pwd=u7fa,https://pan.quark.cn/s/bac8954ecf72,
鱿鱼游戏1-2季,https://pan.baidu.com/s/1r9HkT29ZO8-2T0LfOP5O5g?pwd=tyqn,https://pan.quark.cn/s/1e18f1cf95bb,
凡人修仙传,https://pan.baidu.com/s/15670v6VC0qhs2nhSG6sjnA?pwd=8xdb,https://pan.quark.cn/s/b6372cbbc99d,
